,Name,Platform,Year,Genre,Publisher,Global_Sales
6062,Lightning Returns: Final Fantasy XIII,X360,2013.0,Role-Playing,Square Enix,0.29
8599,Macross Ace Frontier,PSP,2008.0,Simulation,Namco Bandai Games,0.16
2969,The Sims: Medieval,PC,2011.0,Simulation,Electronic Arts,0.69
1017,The Beatles: Rock Band,Wii,2009.0,Misc,MTV Games,1.74
14482,Teenage Mutant Ninja Turtles: Mutants in Manhattan,X360,2016.0,Action,Activision,0.03
6762,Turning Point: Fall of Liberty,PS3,2008.0,Shooter,Codemasters,0.25
6552,Samurai Warriors 4,PS3,2014.0,Action,Tecmo Koei,0.26
14037,Super Robot Taisen: Scramble Commander the 2nd,PS2,2007.0,Strategy,Banpresto,0.04
13846,NHL Blades of Steel 2000,PS,1999.0,Sports,Konami Digital Entertainment,0.04
10655,King's Field: The Ancient City,PS2,2001.0,Role-Playing,Metro 3D,0.1
9873,Onimusha: Blade Warriors,PS2,2003.0,Fighting,Capcom,0.12
13276,American Chopper 2: Full Throttle,XB,2005.0,Racing,Zoo Digital Publishing,0.05
2188,Evolve,PS4,2015.0,Shooter,Take-Two Interactive,0.95
3200,Iron Man,PSP,2008.0,Action,Sega,0.63
3859,Gun,XB,2005.0,Shooter,Activision,0.52
14500,GTR Evolution,PC,2008.0,Racing,Atari,0.03
13159,Ty the Tasmanian Tiger 3: Night of the Quinkan,GBA,2005.0,Action,Zoo Digital Publishing,0.05
4453,Sin and Punishment: Star Successor,Wii,2009.0,Shooter,Nintendo,0.44
5250,Toriko: Gourmet Survival!,PSP,2011.0,Role-Playing,Namco Bandai Games,0.36
13306,Silent Hunter: Wolves of the Pacific,PC,2007.0,Simulation,Ubisoft,0.05
14429,Far East of Eden Shinden,NG,1995.0,Fighting,Hudson Soft,0.03
3232,Wet,PS3,2009.0,Shooter,Bethesda Softworks,0.63
9000,QuickSpot,DS,2006.0,Misc,Namco Bandai Games,0.14
4517,Barnstorming,2600,1981.0,Action,Activision,0.43
3473,Xenosaga Episode II: Jenseits von Gut und Böse,PS2,2004.0,Role-Playing,Sony Computer Entertainment,0.58
12075,Space Hulk: Vengeance of the Blood Angels,PS,1995.0,Shooter,Electronic Arts,0.07
6128,X-Men: Reign of Apocalypse,GBA,2001.0,Action,Activision,0.28
3301,Cabela's Monster Buck Hunter,Wii,2010.0,Sports,Activision,0.61
9666,Nippon Daihyou Team no Kantoku ni Narou! Sekaihatsu Soccer RPG,SAT,1998.0,Sports,Sega,0.12
2193,Wii Play: Motion,Wii,2011.0,Misc,Nintendo,0.95
13610,BeatMania IIDX 16: Empress + Premium Best,PS2,2009.0,Simulation,Konami Digital Entertainment,0.04
16104,Barbie and Her Sisters Puppy Rescue,WiiU,2015.0,Action,Namco Bandai Games,0.01
10070,Batman: Dark Tomorrow,XB,2003.0,Action,Kemco,0.11
12425,Blast Lacrosse,PS,2001.0,Sports,Acclaim Entertainment,0.06
13094,Rave Master,GC,2002.0,Fighting,Konami Digital Entertainment,0.05
5180,Valkyrie Profile: Lenneth,PSP,2006.0,Role-Playing,Square Enix,0.36
9109,Top Spin 3,DS,2008.0,Action,D3Publisher,0.14
6769,Disney's Planes,DS,2013.0,Simulation,Disney Interactive Studios,0.25
12729,Nights of Azure,PS4,2015.0,Action,Tecmo Koei,0.06
4549,Lego Batman 3: Beyond Gotham,XOne,2014.0,Action,Warner Bros. Interactive Entertainment,0.43
4302,Disney Guilty Party,Wii,2010.0,Misc,Disney Interactive Studios,0.46
1473,Tony Hawk's Pro Skater,GB,2000.0,Sports,Activision,1.33
5652,Harry Potter and the Half-Blood Prince,X360,2009.0,Action,Electronic Arts,0.32
2557,World Soccer Jikkyou Winning Eleven 3: World Cup France '98,PS,1998.0,Sports,Konami Digital Entertainment,0.81
12105,Monster High: New Ghoul in School,PS3,2015.0,Action,Little Orbit,0.07
5779,Major League Baseball 2K8,PS3,2008.0,Sports,Bethesda Softworks,0.31
5120,Yarudora Series Vol.1: Double Cast,PS,1998.0,Adventure,Sony Computer Entertainment,0.37
1913,Disney's Lilo & Stitch,GBA,2002.0,Platform,Ubisoft,1.08
15036,Tokyo Xanadu eX+,PS4,2016.0,Role-Playing,Nihon Falcom Corporation,0.02
15130,Twinkle * Crusaders GoGo!,PSP,2010.0,Adventure,ASCII Media Works,0.02
484,Wave Race 64,N64,1996.0,Racing,Nintendo,2.94
15851,Monster Trux Offroad,Wii,2007.0,Racing,Popcorn Arcade,0.02
3742,ESPN NBA Basketball,PS2,2003.0,Sports,Sega,0.54
6858,Monster Jam,PS2,2007.0,Racing,Activision,0.24
16286,War for the Overworld,PC,2015.0,Strategy,Unknown,0.01
15743,Postman Pat: Special Delivery Service,DS,2009.0,Misc,GSP,0.02
15342,Rinne no Lagrange: Kamogawa Days,PS3,2012.0,Adventure,Namco Bandai Games,0.02
16474,Total War Attila: Tyrants & Kings,PC,2016.0,Strategy,Koch Media,0.01
2596,Alien,2600,1981.0,Action,20th Century Fox Video Games,0.79
5730,Jampack: Summer 2003 (RP-M),PS2,2003.0,Misc,Sony Computer Entertainment,0.31
7092,World Soccer Winning Eleven 2010: Aoki Samurai no Chousen,PS3,2010.0,Sports,Konami Digital Entertainment,0.23
465,Mike Tyson's Punch-Out!!,NES,1987.0,Fighting,Nintendo,3.02
12783,Yuugen Gaisha Brave Company,3DS,2011.0,Strategy,Namco Bandai Games,0.06
16232,Zero no Tsukaima: Maigo no Period to Ikusen no Symphony,PS2,2008.0,Adventure,Marvelous Interactive,0.01
592,LittleBigPlanet,PSP,2009.0,Platform,Sony Computer Entertainment,2.58
14721,King Arthur II,PC,2011.0,Strategy,Paradox Interactive,0.03
1106,Ms. Pac-Man,2600,1981.0,Puzzle,Atari,1.65
8137,Commandos 2: Men of Courage,PS2,2002.0,Strategy,Eidos Interactive,0.18
12935,Metal Fight Beyblade: Bakugami Susanoh Shuurai!,DS,2010.0,Action,Hudson Soft,0.05
8799,Theatrhythm Dragon Quest,3DS,2015.0,Misc,Square Enix,0.15
16480,Muv-Luv Alternative,PS3,2012.0,Simulation,5pb,0.01
12847,Princess on Ice,DS,2008.0,Sports,505 Games,0.05
12330,Spy Fox in Dry Cereal,Wii,2008.0,Adventure,Majesco Entertainment,0.06
14744,Bleach: Soul Carnival 2,PSP,2009.0,Fighting,Sony Computer Entertainment,0.03
1337,Far Cry 4,PS3,2014.0,Shooter,Ubisoft,1.44
10376,Barbie in The 12 Dancing Princesses,DS,2007.0,Adventure,Activision,0.11
1373,Ridge Racer,PSP,2004.0,Racing,Sony Computer Entertainment,1.41
10196,Odama,GC,2006.0,Misc,Nintendo,0.11
9628,Kidz Sports: Crazy Golf,Wii,2008.0,Sports,Data Design Interactive,0.13
14411,NBA 2K13,PC,2012.0,Sports,Take-Two Interactive,0.03
6551,Polarium,DS,2004.0,Puzzle,Nintendo,0.26
1876,Virtua Fighter 5,PS3,2007.0,Fighting,Sega,1.09
9341,MLB Power Pros 2008,Wii,2008.0,Sports,Konami Digital Entertainment,0.13
4764,Marvel: Ultimate Alliance 2,PS2,2009.0,Role-Playing,Activision,0.41
12209,Yoake Yori Ruriiro na: Brighter than Dawning Blue,PS2,2006.0,Adventure,Aria,0.07
14926,Ghost Pirates of Vooju Island,PC,2009.0,Adventure,DTP Entertainment,0.02
4237,Disney's Kim Possible 3: Team Possible,GBA,2005.0,Platform,Disney Interactive Studios,0.46
15078,HatsuKare * Renai Debut Sengen!,PSP,2013.0,Adventure,FuRyu,0.02
2302,Destruction Derby,PS,1995.0,Racing,Psygnosis,0.9
4021,Super Monkey Ball 3D,3DS,2011.0,Action,Sega,0.49
13500,Crushed Baseball,GBA,2004.0,Sports,Summitsoft,0.04
13410,Black Jack vs. Matsudajun,PS,2000.0,Misc,Pony Canyon,0.05
552,Onimusha: Warlords,PS2,2001.0,Action,Virgin Interactive,2.7
16531,Hitman (2016),XOne,2016.0,Action,Square Enix,0.01
14978,Blade Arcus from Shining EX,PS4,2015.0,Fighting,Sega,0.02
14970,Strike Witches 2: Iyasu Naosu Punipunisuru,DS,2010.0,Action,Kadokawa Shoten,0.02
2910,NCAA Football 08,X360,2007.0,Sports,Electronic Arts,0.7
4187,Automobili Lamborghini,N64,1997.0,Racing,Titus,0.47
13281,Smash Court Tennis 3,PSP,2007.0,Sports,Namco Bandai Games,0.05
4796,Defender,PS2,2002.0,Misc,Midway Games,0.4
3036,TV Show King Party,Wii,2008.0,Puzzle,Ubisoft,0.67
4303,Warhawk,PS,1995.0,Simulation,Sony Computer Entertainment,0.46
14149,Cabela's Dangerous Hunts 2,GC,2005.0,Sports,Activision,0.03
9982,Brunswick Pro Bowling,3DS,2011.0,Sports,Crave Entertainment,0.12
3584,Backyard NFL Football,GBA,2002.0,Sports,Infogrames,0.56
9233,FIFA 06 Soccer,GC,2005.0,Sports,Electronic Arts,0.14
13183,Furu Furu Park,Wii,2007.0,Misc,Taito,0.05
15931,Hummer Badlands,XB,2006.0,Racing,Global Star,0.02
4666,X-Men vs. Street Fighter,PS,1997.0,Fighting,Capcom,0.42
11199,LEGO Star Wars II: The Original Trilogy,GBA,2006.0,Action,LucasArts,0.09
5385,Power Rangers Samurai,Wii,2011.0,Action,Namco Bandai Games,0.34
4732,The LEGO Movie Videogame,PSV,2014.0,Action,Warner Bros. Interactive Entertainment,0.41
3902,Fire Emblem: Radiant Dawn,Wii,2007.0,Strategy,Nintendo,0.51
11763,Zumba Fitness Core,Wii,2012.0,Misc,505 Games,0.07
5959,Syphon Filter: Dark Mirror,PSP,2006.0,Shooter,Sony Computer Entertainment,0.29
9302,Open Season,DS,2006.0,Platform,Ubisoft,0.14
15721,"Hanayaka Kana, Ware ga Ichizoku: Tasogare Polarstar",PSP,2013.0,Adventure,Idea Factory,0.02
6861,NBA Live 10,PSP,2009.0,Sports,Electronic Arts,0.24
10514,Medal of Honor: Vanguard,Wii,2007.0,Shooter,Electronic Arts,0.1
10486,Road Rash: Jailbreak,GBA,2003.0,Racing,Zoo Digital Publishing,0.1
16080,Virtua Tennis 3,PC,2007.0,Sports,Sega,0.01
15001,Cross Ange: Tenshi to Ryuu no Rondo tr.,PSV,2015.0,Action,Namco Bandai Games,0.02
15087,Tom Clancy's EndWar,PC,2009.0,Strategy,Ubisoft,0.02
11175,Bella Sara,DS,2008.0,Misc,Codemasters,0.09
14830,Senran Kagura: Bon Appétit!,PSV,2014.0,Misc,Marvelous Entertainment,0.03
8925,The Walking Dead: Season Two,PSV,2014.0,Adventure,Telltale Games,0.15
5572,God of War Collection,PSV,2014.0,Action,Sony Computer Entertainment,0.33
16520,Tengai Makyo: Dai Yon no Mokushiroku,PSP,2006.0,Role-Playing,Hudson Soft,0.01
9345,Go Play: Circus Star,Wii,2009.0,Action,Majesco Entertainment,0.13
13340,F1 2015,PC,2015.0,Racing,Codemasters,0.05
1581,Winter Sports: The Ultimate Challenge,Wii,2007.0,Sports,RTL,1.26
9242,Puyo Puyo!! 20th Anniversary,DS,2011.0,Puzzle,Sega,0.14
5334,Rally Cross 2,PS,1998.0,Racing,989 Studios,0.35
4075,Crash of the Titans,DS,2007.0,Action,Vivendi Games,0.49
6612,Imagine: Ballet Star,DS,2008.0,Simulation,Ubisoft,0.25
12040,Crayon Shin-Chan: Densetsu o Yobu Omake no To Shukkugaan!,GBA,2006.0,Action,Banpresto,0.07
13802,Thoroughbred Breeder II Plus,PS,1995.0,Simulation,Hect,0.04
3601,Viva Pinata: Pocket Paradise,DS,2008.0,Simulation,THQ,0.56
4504,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",PS2,2005.0,Action,Disney Interactive Studios,0.43
10573,The Ant Bully,PS2,2006.0,Platform,Midway Games,0.1
6011,Disney Channel: All Star Party,Wii,2010.0,Misc,Disney Interactive Studios,0.29
11381,Exit,PSP,2005.0,Puzzle,Ubisoft,0.08
284,The Legend of Zelda: Skyward Sword,Wii,2011.0,Action,Nintendo,4.1
6053,SD Gundam Gaiden: Knight Gundam Monogatari: Ooinaru Isan,SNES,1991.0,Role-Playing,Angel Studios,0.29
16116,Tears to Tiara: Kakan no Daichi Portable,PSP,2010.0,Adventure,Aqua Plus,0.01
1853,LEGO The Lord of the Rings,PS3,2012.0,Action,Warner Bros. Interactive Entertainment,1.1
9164,Dead or Alive 2,DC,2000.0,Fighting,Acclaim Entertainment,0.14
10032,Girl Time,DS,2009.0,Simulation,THQ,0.11
2455,Tiger Woods PGA Tour 11,PS3,2010.0,Sports,Electronic Arts,0.84
10233,GunGriffon Blaze,PS2,2000.0,Simulation,Swing! Entertainment,0.11
12861,Virtual Villagers: A New Home,DS,2010.0,Simulation,PQube,0.05
2107,Xenoblade Chronicles,Wii,2010.0,Role-Playing,Nintendo,0.98
9683,Kidou Senshi Gundam Seed Battle Destiny,PSV,2012.0,Action,Namco Bandai Games,0.12
2738,WWE SmackDown vs. Raw 2010,Wii,2009.0,Fighting,THQ,0.75
10931,Playmobil Circus,Wii,2009.0,Action,Mindscape,0.09
13716,World Series Baseball,SAT,1994.0,Sports,Sega,0.04
4577,NHL 2K6,PS2,2005.0,Sports,Take-Two Interactive,0.42
6338,Spider-Man: Web of Shadows,PS3,2008.0,Action,Activision,0.27
10798,Tennis no Oji-Sama: Motto Gakuensai no Ouji-Sama - More Sweet Edition,DS,2010.0,Sports,Konami Digital Entertainment,0.1
11710,Pinball Hall of Fame: The Gottlieb Collection,XB,2004.0,Misc,Crave Entertainment,0.08
5828,Gameboy Gallery,GB,1995.0,Misc,Nintendo,0.3
6732,Armored Core 4,X360,2007.0,Simulation,505 Games,0.25
14589,Game of Thrones (Telltale),XOne,2015.0,Adventure,Telltale Games,0.03
15322,Last Escort,PS2,2006.0,Adventure,D3Publisher,0.02
2554,Dying Light,XOne,2015.0,Action,Warner Bros. Interactive Entertainment,0.81
14181,Junior Island Adventure,DS,2011.0,Puzzle,Unknown,0.03
5126,Scooby-Doo! Classic Creep Capers,N64,2000.0,Action,THQ,0.37
13217,World Series of Poker,GC,2005.0,Misc,Activision Value,0.05
11346,America's Next Top Model,Wii,2010.0,Action,Crave Entertainment,0.08
7663,My Secret World by Imagine,DS,2008.0,Misc,Ubisoft,0.2
13037,DokiDoki Majo Shinpan!,DS,2007.0,Adventure,SNK Playmore,0.05
2671,Dragon Ball: Raging Blast,PS3,2009.0,Fighting,Namco Bandai Games,0.77
13291,Kiniro no Corda 2 Encore,PS2,2007.0,Role-Playing,Tecmo Koei,0.05
1717,Spore,PC,2008.0,Strategy,Electronic Arts,1.17
2382,Tom Clancy's Ghost Recon: Island Thunder,XB,2003.0,Shooter,Ubisoft,0.87
6489,Inazuma Eleven Strikers,Wii,2011.0,Role-Playing,Nintendo,0.26
5955,Just Dance Kids 2,Wii,2011.0,Misc,Ubisoft,0.29
12390,Atelier Iris 2: The Azoth Of Destiny,PS2,2005.0,Role-Playing,Tecmo Koei,0.06
4893,Bloody Roar,PS,1997.0,Fighting,Virgin Interactive,0.39
3836,Star Wars Battlefront: Elite Squadron,DS,2009.0,Shooter,LucasArts,0.52
11102,Atelier Totori: The Adventurer of Arland,PSV,2012.0,Role-Playing,Gust,0.09
15473,Adidas Power Soccer 98,PS,1998.0,Sports,Psygnosis,0.02
6437,Sonic X: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,,0.27
12608,Magi: Aratanaru Sekai,3DS,2014.0,Role-Playing,Namco Bandai Games,0.06
1077,Time Crisis,PS,1997.0,Shooter,Namco Bandai Games,1.68
113,Need for Speed Underground 2,PS2,2004.0,Racing,Electronic Arts,6.9
8275,Disney's Atlantis: The Lost Empire,PS,2001.0,Platform,Sony Computer Entertainment,0.17
512,Skylanders: Spyro's Adventure,Wii,2011.0,Action,Activision,2.85
4971,Ice Age: Dawn of the Dinosaurs,DS,2009.0,Action,Activision,0.39
16015,Rise of Flight: Iron Cross Edition,PC,2010.0,Simulation,Aerosoft,0.01
14604,Power Poke Dash,GBA,2006.0,Sports,Konami Digital Entertainment,0.03
7327,Transformers: Dark of the Moon,3DS,2011.0,Action,Activision,0.21
12781,BattleBots: Beyond the BattleBox,GBA,2002.0,Action,Vivendi Games,0.06
1712,WWE '12,PS3,2011.0,Fighting,THQ,1.18
7472,The Naked Brothers Band: The Video Game,Wii,2008.0,Misc,THQ,0.21
2306,Hot Shots Tennis,PS2,2006.0,Sports,Sony Computer Entertainment,0.9
6104,All Star Cheer Squad,DS,2008.0,Sports,THQ,0.28
5369,Iron Man 2,DS,2010.0,Action,Sega,0.34
6004,Need for Speed: The Run,Wii,2011.0,Action,Electronic Arts,0.29
8448,Senran Kagura: Estival Versus,PS4,2015.0,Action,Marvelous Interactive,0.17
3796,Tom Clancy's Ghost Recon Advanced Warfighter 2,PSP,2007.0,Shooter,Ubisoft,0.53
6545,Loving Life with Hello Kitty & Friends,DS,2011.0,Misc,Rising Star Games,0.26
299,Fallout 3,PS3,2008.0,Role-Playing,Bethesda Softworks,4.01
14143,Gekiatsu!! Pachi Game Tamashi Max: Evangelion 7 x Seimei no Kodou,PS3,2012.0,Misc,Fields,0.03
11312,Zoids: Legacy,GBA,2003.0,Role-Playing,Tomy Corporation,0.08
12981,Tsumiki: Block Drop Mania,DS,2007.0,Action,Nobilis,0.05
5254,Mega Man Zero Collection,DS,2010.0,Platform,Capcom,0.36
2648,NBA 2K7,PS2,2006.0,Sports,Take-Two Interactive,0.78
11736,Party Pigs: Farmyard Games,Wii,2009.0,Misc,Data Design Interactive,0.07
13292,Jewel Quest Mysteries,DS,2009.0,Puzzle,Astragon,0.05
2860,MLB 13: The Show,PS3,2013.0,Sports,Sony Computer Entertainment,0.71
1855,WWE SmackDown vs. Raw 2011,PS3,2010.0,Fighting,THQ,1.1
2312,Spider-Man 3,PS2,2007.0,Platform,Activision,0.9
4621,Rush 2: Extreme Racing USA,N64,1998.0,Racing,Midway Games,0.42
15481,Agatha Christie's The ABC Murders,PS4,2016.0,Adventure,Microids,0.02
9481,Castlevania: Legacy of Darkness,N64,1999.0,Platform,Konami Digital Entertainment,0.13
7702,Conan,X360,2007.0,Action,THQ,0.2
14224,James Pond: Codename Robocod,GBA,2005.0,Platform,Play It,0.03
15178,Puzzle Challenge: Crosswords and More!,PS2,2006.0,Puzzle,Crave Entertainment,0.02
4285,Star Wars: Demolition,PS,2000.0,Racing,Activision,0.46
12893,UEFA Euro 2004: Portugal,XB,2004.0,Sports,Electronic Arts,0.05
2363,NBA 2K6,PS2,2005.0,Action,Take-Two Interactive,0.88
1190,Final Fight,SNES,1990.0,Action,Capcom,1.56
6262,Cabela's Trophy Bucks,PS2,2007.0,Sports,Activision Value,0.27
7399,The Fairly OddParents: Breakin' Da Rules,GC,2003.0,Platform,THQ,0.21
9349,The Guy Game,PS2,2004.0,Misc,Gathering of Developers,0.13
7372,Now! That's What I Call Music: Dance & Sing,Wii,2011.0,Misc,Unknown,0.21
14390,Phantasy Star Online 2 Episode 4: Deluxe Package,PS4,2017.0,Role-Playing,Sega,0.03
6181,Sing Party,WiiU,2012.0,Misc,Nintendo,0.28
12495,Serious Sam II,XB,2005.0,Shooter,Take-Two Interactive,0.06
9092,Okami,PS3,2012.0,Action,Capcom,0.14
6885,Amazing Adventures: The Forgotten Ruins,DS,2008.0,Adventure,PopCap Games,0.24
117,Zumba Fitness,Wii,2010.0,Sports,505 Games,6.81
596,WWE SmackDown vs. RAW 2007,PS2,2006.0,Fighting,THQ,2.58
4841,SpongeBob's Truth or Square (US sales),Wii,2009.0,Action,THQ,0.4
12834,Rebelstar: Tactical Command,GBA,2005.0,Strategy,Atari,0.05
11761,Again,DS,2009.0,Adventure,Ackkstudios,0.07
2973,Kirby's Dream Collection: Special Edition,Wii,2012.0,Action,Nintendo,0.68
3015,Contra: Legacy of War,PS,1996.0,Shooter,Konami Digital Entertainment,0.67
13288,Wasteland 2,XOne,2015.0,Role-Playing,Deep Silver,0.05
199,FIFA Soccer 11,PS3,2010.0,Sports,Electronic Arts,5.08
11952,Showtime Championship Boxing,Wii,2007.0,Fighting,Zoo Digital Publishing,0.07
15111,Neo Angelique,PS2,2006.0,Adventure,Tecmo Koei,0.02
4158,Hamsterz Life,DS,2006.0,Action,Ubisoft,0.47
15518,Chrysler Classic Racing,DS,2008.0,Racing,Zoo Games,0.02
5879,Romance of the Three Kingdoms VIII,PS2,2002.0,Strategy,Tecmo Koei,0.3
10294,Rock Band: Metal Track Pack,PS2,2009.0,Misc,MTV Games,0.11
4201,FIFA 12,PC,2011.0,Sports,Electronic Arts,0.47
11877,Dark Souls,PC,2012.0,Role-Playing,Namco Bandai Games,0.07
8784,Ice Age 2: The Meltdown,DS,2006.0,Platform,Vivendi Games,0.15
13909,Adidas Power Soccer,PS,1996.0,Sports,Psygnosis,0.04
3142,Max Payne 2: The Fall of Max Payne,XB,2003.0,Shooter,Take-Two Interactive,0.64
10246,Call of Juarez: The Cartel,PC,2011.0,Shooter,Ubisoft,0.11
5026,Metal Gear Solid: Snake Eater 3D,3DS,2012.0,Action,Konami Digital Entertainment,0.38
13847,Outlaw Volleyball Remixed,PS2,2004.0,Sports,Global Star,0.04
13783,Mission: Impossible - Operation Surma,GBA,2003.0,Platform,Atari,0.04
13880,Glacier2,Wii,2009.0,Racing,Zoo Games,0.04
8166,Kidou Senshi Gundam: Senjou no Kizuna Portable,PSP,2009.0,Strategy,Namco Bandai Games,0.18
15536,Katekyoo Hitman Reborn!! Let's Ansatsu!? Nerawareta 10 Daime!,PS2,2007.0,Action,Marvelous Interactive,0.02
16068,Mortal Kombat: Tournament Edition,GBA,2003.0,Fighting,Midway Games,0.01
3152,Stuntman: Ignition,X360,2007.0,Racing,THQ,0.64
13559,428: Fuusa Sareta Shibuya de,PSP,2009.0,Adventure,Spike,0.04
16005,Sengoku Hime: Senran ni Mau Otometachi,PSP,2009.0,Adventure,Yeti,0.01
12451,Shining Force Feather,DS,2009.0,Strategy,Sega,0.06
13774,Jojo's Fashion Show: Design in a Dash!,DS,2009.0,Simulation,Ubisoft,0.04
11351,Pac-Man World Rally,GC,2006.0,Racing,Namco Bandai Games,0.08
1533,Transformers,PS2,2004.0,Shooter,Atari,1.29
10793,Glory Days 2,DS,2007.0,Strategy,Ghostlight,0.1
14553,Culdcept,PS2,2002.0,Strategy,Sega,0.03
182,Super Mario Bros. 3,GBA,2003.0,Platform,Nintendo,5.2
229,Tomb Raider,PS,1996.0,Action,Eidos Interactive,4.63
2571,Final Fantasy Anthology,PS,1999.0,Role-Playing,Square EA,0.8
5070,WWE SmackDown vs. Raw 2011,PS2,2010.0,Fighting,THQ,0.38
15194,Let's Play Flight Attendant,DS,2010.0,Simulation,Deep Silver,0.02
3004,Turok,PS3,2008.0,Action,Touchstone,0.68
